Vardas           Pavarde           ND1  ND2  ND3  ND4  ND5  Egz.
VardasNR86       PavardeNR86        6    8    6    1    3    7    
VardasNR87       PavardeNR87        4    5    1    10   6    8    
VardasNR88       PavardeNR88        8    8    10   9    4    1    
VardasNR89       PavardeNR89        6    5    7    3    8    7    
VardasNR90       PavardeNR90        1    3    1    1    3    9    
VardasNR91       PavardeNR91        8    6    2    4    3    2    
VardasNR92       PavardeNR92        6    10   6    5    6    4    
VardasNR93       PavardeNR93        10   10   8    6    6    10   
VardasNR94       PavardeNR94        4    1    2    2    10   3    
VardasNR95       PavardeNR95        2    10   7    10   10   7    
VardasNR96       PavardeNR96        10   9    5    8    10   4    
VardasNR97       PavardeNR97        3    2    1    5    8    9    
VardasNR98       PavardeNR98        7    10   3    5    3    4    
VardasNR99       PavardeNR99        5    10   6    3    8    5    
VardasNR100      PavardeNR100       8    7    3    3    2    1    
VardasNR101      PavardeNR101       2    1    10   1    8    10   
VardasNR102      PavardeNR102       2    3    2    2    4    4    
VardasNR103      PavardeNR103       3    1    7    7    1    2    
VardasNR104      PavardeNR104       1    10   6    6    5    10   
VardasNR105      PavardeNR105       7    3    1    10   10   4    
VardasNR106      PavardeNR106       10   9    8    5    1    1    
VardasNR107      PavardeNR107       2    2    6    7    6    4    
VardasNR108      PavardeNR108       6    2    7    1    10   5    
VardasNR109      PavardeNR109       10   9    3    9    3    2    
VardasNR110      PavardeNR110       9    8    1    4    1    9    
VardasNR111      PavardeNR111       9    9    3    2    5    2    
VardasNR112      PavardeNR112       3    8    3    1    5    3    
VardasNR113      PavardeNR113       5    1    8    2    2    7    
VardasNR114      PavardeNR114       8    3    10   3    2    4    
VardasNR115      PavardeNR115       3    9    4    7    4    8    
VardasNR116      PavardeNR116       8    9    7    10   10   7    
VardasNR117      PavardeNR117       8    2    10   8    8    5    
VardasNR118      PavardeNR118       2    7    1    10   7    7    
VardasNR119      PavardeNR119       5    7    4    7    3    9    
VardasNR120      PavardeNR120       6    3    8    5    8    7    
VardasNR121      PavardeNR121       8    3    3    4    7    3    
VardasNR122      PavardeNR122       3    1    7    7    5    10   
VardasNR123      PavardeNR123       2    6    9    8    8    7    
VardasNR124      PavardeNR124       5    4    3    9    2    8    
VardasNR125      PavardeNR125       3    1    9    5    9    8    
VardasNR126      PavardeNR126       7    1    2    7    6    7    
VardasNR127      PavardeNR127       9    5    8    1    10   5    
VardasNR128      PavardeNR128       5    8    1    8    8    8    
VardasNR129      PavardeNR129       8    4    7    6    5    3    
VardasNR130      PavardeNR130       3    8    4    9    1    4    
VardasNR131      PavardeNR131       3    4    9    7    3    10   
VardasNR132      PavardeNR132       3    8    4    4    2    4    
VardasNR133      PavardeNR133       10   4    3    7    8    9    
VardasNR134      PavardeNR134       1    4    5    6    7    2    
VardasNR135      PavardeNR135       9    4    7    2    2    10   
VardasNR136      PavardeNR136       5    3    4    7    4    3    
VardasNR137      PavardeNR137       3    2    3    3    4    1    
VardasNR138      PavardeNR138       9    4    6    6    10   6    
VardasNR139      PavardeNR139       10   3    4    5    9    6    
VardasNR140      PavardeNR140       1    2    7    10   4    7    
VardasNR141      PavardeNR141       9    5    3    2    1    9    
VardasNR142      PavardeNR142       9    9    8    5    8    7    
VardasNR143      PavardeNR143       10   9    7    2    1    10   
VardasNR144      PavardeNR144       7    5    5    10   6    7    
VardasNR145      PavardeNR145       6    10   2    9    9    1    
VardasNR146      PavardeNR146       1    4    7    8    7    8    
VardasNR147      PavardeNR147       9    8    1    8    8    6    
VardasNR148      PavardeNR148       1    3    7    8    5    2    
VardasNR149      PavardeNR149       9    2    5    9    10   5    
VardasNR150      PavardeNR150       6    9    10   3    6    1    
VardasNR151      PavardeNR151       7    9    10   6    6    2    
VardasNR152      PavardeNR152       10   2    2    1    1    9    
VardasNR153      PavardeNR153       7    7    7    6    1    6    
VardasNR154      PavardeNR154       3    6    10   3    1    2    
VardasNR155      PavardeNR155       8    2    4    1    7    7    
VardasNR156      PavardeNR156       9    3    1    8    10   2    
VardasNR157      PavardeNR157       9    3    7    1    6    4    
VardasNR158      PavardeNR158       9    3    7    8    9    5    
VardasNR159      PavardeNR159       7    8    10   5    2    6    
VardasNR160      PavardeNR160       2    1    9    1    6    2    
VardasNR161      PavardeNR161       2    4    9    3    7    2    
VardasNR162      PavardeNR162       5    5    3    7    10   2    
VardasNR163      PavardeNR163       6    9    3    7    8    5    
VardasNR164      PavardeNR164       1    8    2    3    2    8    
VardasNR165      PavardeNR165       7    9    2    10   1    4    
VardasNR166      PavardeNR166       8    10   2    2    9    1    
VardasNR167      PavardeNR167       7    7    3    3    1    4    
VardasNR168      PavardeNR168       3    8    3    8    2    3    
VardasNR169      PavardeNR169       2    10   1    10   6    9    
VardasNR170      PavardeNR170       7    4    3    2    1    10   
VardasNR171      PavardeNR171       5    9    1    4    5    3    
VardasNR172      PavardeNR172       6    9    9    2    7    3    
VardasNR173      PavardeNR173       9    6    1    8    10   3    
VardasNR174      PavardeNR174       7    1    9    5    3    4    
VardasNR175      PavardeNR175       6    9    8    2    10   8    
VardasNR176      PavardeNR176       10   2    10   10   6    1    
VardasNR177      PavardeNR177       8    7    10   10   8    5    
VardasNR178      PavardeNR178       7    6    7    9    10   4    
VardasNR179      PavardeNR179       6    10   8    4    7    4    
VardasNR180      PavardeNR180       4    3    6    5    3    6    
VardasNR181      PavardeNR181       8    4    5    1    3    5    
VardasNR182      PavardeNR182       3    4    4    2    5    4    
VardasNR183      PavardeNR183       7    8    7    5    2    4    
VardasNR184      PavardeNR184       10   9    3    3    9    4    
VardasNR185      PavardeNR185       8    2    3    2    7    1    
VardasNR186      PavardeNR186       9    6    1    2    4    2    
VardasNR187      PavardeNR187       9    6    4    8    5    3    
VardasNR188      PavardeNR188       1    1    5    3    9    7    
VardasNR189      PavardeNR189       5    9    3    4    9    2    
VardasNR190      PavardeNR190       8    4    8    2    3    2    
VardasNR191      PavardeNR191       8    1    6    3    6    1    
VardasNR192      PavardeNR192       2    9    2    1    9    9    
VardasNR193      PavardeNR193       10   4    5    10   2    4    
VardasNR194      PavardeNR194       4    7    8    5    8    2    
VardasNR195      PavardeNR195       5    8    9    7    4    6    
VardasNR196      PavardeNR196       2    2    9    7    6    5    
VardasNR197      PavardeNR197       6    3    3    5    2    9    
VardasNR198      PavardeNR198       9    6    5    8    5    9    
VardasNR199      PavardeNR199       4    7    5    8    10   9    
VardasNR200      PavardeNR200       4    2    10   1    1    10   
VardasNR201      PavardeNR201       9    3    3    5    5    3    
VardasNR202      PavardeNR202       4    3    2    2    8    2    
VardasNR203      PavardeNR203       6    6    10   3    9    4    
VardasNR204      PavardeNR204       9    7    6    10   8    2    
VardasNR205      PavardeNR205       8    9    6    3    10   1    
VardasNR206      PavardeNR206       5    6    6    5    6    8    
VardasNR207      PavardeNR207       6    3    4    10   8    4    
VardasNR208      PavardeNR208       5    1    5    4    10   2    
VardasNR209      PavardeNR209       7    4    6    5    9    9    
VardasNR210      PavardeNR210       5    4    8    9    3    4    
VardasNR211      PavardeNR211       4    4    9    5    1    4    
VardasNR212      PavardeNR212       1    1    5    9    8    5    
VardasNR213      PavardeNR213       4    5    2    4    7    7    
VardasNR214      PavardeNR214       4    8    7    10   5    3    
VardasNR215      PavardeNR215       6    1    8    10   9    9    
VardasNR216      PavardeNR216       8    1    1    8    1    6    
VardasNR217      PavardeNR217       2    3    3    7    3    4    
VardasNR218      PavardeNR218       9    3    1    5    8    9    
VardasNR219      PavardeNR219       1    9    9    6    2    1    
VardasNR220      PavardeNR220       8    10   9    8    4    3    
VardasNR221      PavardeNR221       4    5    10   1    5    7    
VardasNR222      PavardeNR222       5    7    4    10   2    7    
VardasNR223      PavardeNR223       3    10   5    10   4    4    
VardasNR224      PavardeNR224       5    2    8    2    9    9    
VardasNR225      PavardeNR225       3    10   1    4    8    3    
VardasNR226      PavardeNR226       6    3    7    2    6    10   
VardasNR227      PavardeNR227       3    1    4    7    2    10   
VardasNR228      PavardeNR228       10   2    1    9    6    5    
VardasNR229      PavardeNR229       10   1    1    6    6    8    
VardasNR230      PavardeNR230       8    8    8    7    7    4    
VardasNR231      PavardeNR231       7    5    8    5    1    8    
VardasNR232      PavardeNR232       5    4    2    1    4    2    
VardasNR233      PavardeNR233       1    5    2    1    1    5    
VardasNR234      PavardeNR234       1    6    7    2    9    3    
VardasNR235      PavardeNR235       9    4    5    5    3    1    
VardasNR236      PavardeNR236       6    4    2    2    8    8    
VardasNR237      PavardeNR237       5    2    3    2    8    8    
VardasNR238      PavardeNR238       7    7    5    4    10   1    
VardasNR239      PavardeNR239       9    2    4    10   9    10   
VardasNR240      PavardeNR240       7    9    2    8    10   10   
VardasNR241      PavardeNR241       5    6    6    1    7    4    
VardasNR242      PavardeNR242       10   10   9    4    10   1    
VardasNR243      PavardeNR243       10   6    6    7    4    1    
VardasNR244      PavardeNR244       6    9    5    8    8    3    
VardasNR245      PavardeNR245       2    4    7    9    7    6    
VardasNR246      PavardeNR246       3    3    5    2    3    8    
VardasNR247      PavardeNR247       8    10   7    2    5    7    
VardasNR248      PavardeNR248       1    1    8    2    8    8    
VardasNR249      PavardeNR249       6    8    5    7    7    7    
VardasNR250      PavardeNR250       5    8    4    10   8    1    
VardasNR251      PavardeNR251       8    5    2    9    4    3    
VardasNR252      PavardeNR252       2    10   7    9    9    10   
VardasNR253      PavardeNR253       10   5    1    10   5    10   
VardasNR254      PavardeNR254       7    6    1    9    3    2    
VardasNR255      PavardeNR255       4    6    5    10   3    8    
VardasNR256      PavardeNR256       5    10   7    8    8    10   
VardasNR257      PavardeNR257       9    9    10   8    8    9    
VardasNR258      PavardeNR258       2    7    9    3    5    3    
VardasNR259      PavardeNR259       10   10   7    2    9    4    
VardasNR260      PavardeNR260       9    5    1    7    7    3    
VardasNR261      PavardeNR261       7    6    8    5    3    6    
VardasNR262      PavardeNR262       2    8    6    4    7    7    
VardasNR263      PavardeNR263       10   7    1    9    5    5    
VardasNR264      PavardeNR264       3    6    9    10   7    10   
VardasNR265      PavardeNR265       6    9    3    7    3    9    
VardasNR266      PavardeNR266       9    6    10   2    1    1    
VardasNR267      PavardeNR267       6    10   5    5    9    10   
VardasNR268      PavardeNR268       5    2    4    7    4    3    
VardasNR269      PavardeNR269       4    2    3    8    5    3    
VardasNR270      PavardeNR270       9    5    8    6    5    1    
VardasNR271      PavardeNR271       2    6    4    3    4    7    
VardasNR272      PavardeNR272       4    5    9    6    6    6    
VardasNR273      PavardeNR273       9    6    8    7    1    1    
VardasNR274      PavardeNR274       6    2    1    4    1    3    
VardasNR275      PavardeNR275       4    3    1    10   7    6    
VardasNR276      PavardeNR276       6    10   9    1    6    1    
VardasNR277      PavardeNR277       6    7    3    9    5    10   
VardasNR278      PavardeNR278       8    3    5    4    7    9    
VardasNR279      PavardeNR279       9    9    9    4    9    4    
VardasNR280      PavardeNR280       1    3    5    1    1    10   
VardasNR281      PavardeNR281       6    1    6    3    8    2    
VardasNR282      PavardeNR282       7    4    7    10   6    4    
VardasNR283      PavardeNR283       5    3    2    3    3    9    
VardasNR284      PavardeNR284       4    9    8    3    7    8    
VardasNR285      PavardeNR285       2    2    9    5    3    6    
VardasNR286      PavardeNR286       10   6    10   7    5    9    
VardasNR287      PavardeNR287       7    2    10   5    4    4    
VardasNR288      PavardeNR288       1    6    5    7    9    2    
VardasNR289      PavardeNR289       10   8    7    8    7    5    
VardasNR290      PavardeNR290       1    4    1    4    3    2    
VardasNR291      PavardeNR291       6    4    1    1    8    10   
VardasNR292      PavardeNR292       6    1    10   5    9    5    
VardasNR293      PavardeNR293       3    9    10   5    5    9    
VardasNR294      PavardeNR294       2    7    9    4    7    9    
VardasNR295      PavardeNR295       3    9    7    5    8    4    
VardasNR296      PavardeNR296       6    10   1    6    10   2    
VardasNR297      PavardeNR297       10   8    1    3    6    8    
VardasNR298      PavardeNR298       4    7    2    7    9    2    
VardasNR299      PavardeNR299       9    10   5    3    8    8    
VardasNR300      PavardeNR300       7    9    3    10   6    1    
VardasNR301      PavardeNR301       8    4    7    7    1    1    
VardasNR302      PavardeNR302       5    10   4    9    8    6    
VardasNR303      PavardeNR303       3    3    4    10   6    4    
VardasNR304      PavardeNR304       8    4    7    5    10   3    
VardasNR305      PavardeNR305       8    2    5    1    5    4    
VardasNR306      PavardeNR306       6    3    6    10   2    8    
VardasNR307      PavardeNR307       4    2    2    5    5    5    
VardasNR308      PavardeNR308       2    1    3    7    1    6    
VardasNR309      PavardeNR309       4    2    8    2    1    7    
VardasNR310      PavardeNR310       8    8    2    4    3    10   
VardasNR311      PavardeNR311       3    10   7    8    8    6    
VardasNR312      PavardeNR312       9    1    5    2    10   4    
VardasNR313      PavardeNR313       2    8    4    9    3    2    
VardasNR314      PavardeNR314       1    8    7    1    6    1    
VardasNR315      PavardeNR315       7    4    4    5    6    10   
VardasNR316      PavardeNR316       6    3    7    9    8    7    
VardasNR317      PavardeNR317       2    1    5    9    1    1    
VardasNR318      PavardeNR318       8    2    9    5    10   9    
VardasNR319      PavardeNR319       10   2    7    10   3    6    
VardasNR320      PavardeNR320       6    9    9    7    5    9    
VardasNR321      PavardeNR321       1    3    2    10   7    4    
VardasNR322      PavardeNR322       1    3    7    1    10   3    
VardasNR323      PavardeNR323       6    8    6    6    3    8    
VardasNR324      PavardeNR324       8    8    10   1    7    5    
VardasNR325      PavardeNR325       7    7    8    2    3    4    
VardasNR326      PavardeNR326       9    6    8    3    3    4    
VardasNR327      PavardeNR327       3    4    5    7    2    10   
VardasNR328      PavardeNR328       10   2    5    9    2    9    
VardasNR329      PavardeNR329       1    5    5    5    8    7    
VardasNR330      PavardeNR330       2    1    8    8    9    3    
VardasNR331      PavardeNR331       10   6    4    3    1    2    
VardasNR332      PavardeNR332       9    10   3    7    2    8    
VardasNR333      PavardeNR333       10   6    4    1    3    10   
VardasNR334      PavardeNR334       6    6    3    6    5    6    
VardasNR335      PavardeNR335       1    9    4    9    2    1    
VardasNR336      PavardeNR336       7    8    7    9    6    6    
VardasNR337      PavardeNR337       8    6    3    9    9    8    
VardasNR338      PavardeNR338       10   10   2    9    2    6    
VardasNR339      PavardeNR339       2    3    8    10   6    1    
VardasNR340      PavardeNR340       10   6    9    2    3    8    
VardasNR341      PavardeNR341       3    8    6    8    3    6    
VardasNR342      PavardeNR342       7    5    10   1    4    6    
VardasNR343      PavardeNR343       7    4    4    6    8    7    
VardasNR344      PavardeNR344       2    2    4    2    7    3    
VardasNR345      PavardeNR345       5    10   6    1    10   2    
VardasNR346      PavardeNR346       10   6    2    7    4    6    
VardasNR347      PavardeNR347       8    6    5    5    10   3    
VardasNR348      PavardeNR348       6    3    2    7    4    5    
VardasNR349      PavardeNR349       6    4    5    1    8    3    
VardasNR350      PavardeNR350       6    6    8    9    4    3    
VardasNR351      PavardeNR351       5    8    1    10   8    6    
VardasNR352      PavardeNR352       10   2    10   5    4    5    
VardasNR353      PavardeNR353       7    5    1    9    9    6    
VardasNR354      PavardeNR354       2    6    3    2    9    10   
VardasNR355      PavardeNR355       9    10   3    7    10   1    
VardasNR356      PavardeNR356       6    5    9    8    1    4    
VardasNR357      PavardeNR357       9    4    9    6    4    2    
VardasNR358      PavardeNR358       1    5    3    1    1    4    
VardasNR359      PavardeNR359       5    3    2    10   10   6    
VardasNR360      PavardeNR360       5    7    10   5    2    8    
VardasNR361      PavardeNR361       8    4    8    10   9    6    
VardasNR362      PavardeNR362       10   5    9    1    9    7    
VardasNR363      PavardeNR363       3    9    9    9    6    2    
VardasNR364      PavardeNR364       9    9    2    6    3    6    
VardasNR365      PavardeNR365       9    4    5    7    5    3    
VardasNR366      PavardeNR366       2    4    4    5    4    8    
VardasNR367      PavardeNR367       4    8    6    7    10   8    
VardasNR368      PavardeNR368       10   3    9    2    10   2    
VardasNR369      PavardeNR369       10   5    10   8    6    7    
VardasNR370      PavardeNR370       10   5    1    1    7    7    
VardasNR371      PavardeNR371       2    6    5    6    7    6    
VardasNR372      PavardeNR372       4    9    10   4    2    3    
VardasNR373      PavardeNR373       4    3    8    3    7    10   
VardasNR374      PavardeNR374       8    4    9    10   5    2    
VardasNR375      PavardeNR375       10   4    7    10   9    10   
VardasNR376      PavardeNR376       4    6    1    7    5    8    
VardasNR377      PavardeNR377       3    6    9    10   7    8    
VardasNR378      PavardeNR378       6    6    6    7    4    10   
VardasNR379      PavardeNR379       6    3    10   8    5    9    
VardasNR380      PavardeNR380       7    4    7    6    8    5    
VardasNR381      PavardeNR381       2    9    8    5    2    3    
VardasNR382      PavardeNR382       3    4    3    9    10   3    
VardasNR383      PavardeNR383       10   5    6    5    5    1    
VardasNR384      PavardeNR384       5    2    10   7    4    1    
VardasNR385      PavardeNR385       2    6    5    9    7    3    
VardasNR386      PavardeNR386       5    7    8    2    8    10   
VardasNR387      PavardeNR387       3    4    3    9    6    8    
VardasNR388      PavardeNR388       8    1    6    5    9    3    
VardasNR389      PavardeNR389       3    9    3    3    2    10   
VardasNR390      PavardeNR390       8    4    2    9    10   4    
VardasNR391      PavardeNR391       7    8    3    8    1    6    
VardasNR392      PavardeNR392       8    4    4    4    4    1    
VardasNR393      PavardeNR393       4    1    9    5    10   9    
VardasNR394      PavardeNR394       1    8    4    4    6    5    
VardasNR395      PavardeNR395       7    4    9    4    9    1    
VardasNR396      PavardeNR396       5    1    2    4    7    8    
VardasNR397      PavardeNR397       6    4    10   10   3    8    
VardasNR398      PavardeNR398       6    5    10   3    1    4    
VardasNR399      PavardeNR399       8    8    2    1    4    8    
VardasNR400      PavardeNR400       2    10   9    2    9    6    
VardasNR401      PavardeNR401       10   1    9    9    7    5    
VardasNR402      PavardeNR402       9    4    2    4    7    3    
VardasNR403      PavardeNR403       6    7    5    8    4    4    
VardasNR404      PavardeNR404       9    7    4    6    1    4    
VardasNR405      PavardeNR405       4    3    7    3    9    4    
VardasNR406      PavardeNR406       2    1    2    9    4    4    
VardasNR407      PavardeNR407       2    1    9    5    10   3    
VardasNR408      PavardeNR408       3    6    8    1    2    9    
VardasNR409      PavardeNR409       7    7    7    5    6    5    
VardasNR410      PavardeNR410       2    10   6    4    6    9    
VardasNR411      PavardeNR411       4    9    1    1    10   6    
VardasNR412      PavardeNR412       10   2    5    4    9    5    
VardasNR413      PavardeNR413       2    7    8    4    2    9    
VardasNR414      PavardeNR414       7    9    10   2    7    1    
VardasNR415      PavardeNR415       10   8    10   1    6    7    
VardasNR416      PavardeNR416       4    6    10   3    4    1    
VardasNR417      PavardeNR417       4    8    8    6    5    10   
VardasNR418      PavardeNR418       6    7    6    2    9    4    
VardasNR419      PavardeNR419       7    1    6    3    1    3    
VardasNR420      PavardeNR420       10   6    6    4    1    2    
VardasNR421      PavardeNR421       1    2    7    3    1    5    
VardasNR422      PavardeNR422       8    2    9    7    10   3    
VardasNR423      PavardeNR423       5    6    6    9    3    6    
VardasNR424      PavardeNR424       8    1    9    5    4    2    
VardasNR425      PavardeNR425       9    4    6    4    3    1    
VardasNR426      PavardeNR426       1    8    4    5    3    4    
VardasNR427      PavardeNR427       8    1    9    1    7    9    
VardasNR428      PavardeNR428       6    2    8    9    5    4    
VardasNR429      PavardeNR429       4    3    9    2    6    1    
VardasNR430      PavardeNR430       5    3    5    5    2    8    
VardasNR431      PavardeNR431       6    4    9    3    5    10   
VardasNR432      PavardeNR432       9    5    4    9    3    5    
VardasNR433      PavardeNR433       10   10   9    6    4    9    
VardasNR434      PavardeNR434       8    4    6    7    7    1    
VardasNR435      PavardeNR435       1    7    5    2    5    1    
VardasNR436      PavardeNR436       2    4    2    1    9    6    
VardasNR437      PavardeNR437       4    8    1    2    2    8    
VardasNR438      PavardeNR438       1    5    6    5    1    5    
VardasNR439      PavardeNR439       2    5    5    10   6    3    
VardasNR440      PavardeNR440       10   7    5    5    1    10   
VardasNR441      PavardeNR441       6    5    10   4    9    10   
VardasNR442      PavardeNR442       8    9    10   5    7    6    
VardasNR443      PavardeNR443       9    2    5    4    10   8    
VardasNR444      PavardeNR444       6    9    5    3    3    3    
VardasNR445      PavardeNR445       2    3    7    7    7    8    
VardasNR446      PavardeNR446       8    5    7    7    1    8    
VardasNR447      PavardeNR447       9    3    8    1    5    4    
VardasNR448      PavardeNR448       6    7    7    10   7    7    
VardasNR449      PavardeNR449       10   6    5    8    1    5    
VardasNR450      PavardeNR450       8    3    2    4    8    8    
VardasNR451      PavardeNR451       3    10   4    1    2    2    
VardasNR452      PavardeNR452       5    8    9    4    1    6    
VardasNR453      PavardeNR453       1    3    4    4    6    8    
VardasNR454      PavardeNR454       6    3    2    2    9    7    
VardasNR455      PavardeNR455       6    7    8    6    1    7    
VardasNR456      PavardeNR456       7    3    10   8    3    7    
VardasNR457      PavardeNR457       9    2    10   5    6    3    
VardasNR458      PavardeNR458       6    7    2    3    10   1    
VardasNR459      PavardeNR459       9    5    7    10   3    10   
VardasNR460      PavardeNR460       8    6    3    6    2    3    
VardasNR461      PavardeNR461       6    8    3    9    7    9    
VardasNR462      PavardeNR462       5    6    3    5    9    7    
VardasNR463      PavardeNR463       1    10   5    3    5    2    
VardasNR464      PavardeNR464       4    7    7    3    10   1    
VardasNR465      PavardeNR465       4    10   2    1    9    2    
VardasNR466      PavardeNR466       10   8    3    1    8    7    
VardasNR467      PavardeNR467       8    3    6    10   9    7    
VardasNR468      PavardeNR468       3    1    7    9    6    9    
VardasNR469      PavardeNR469       3    4    4    7    6    4    
VardasNR470      PavardeNR470       9    3    5    6    5    4    
VardasNR471      PavardeNR471       8    2    7    2    5    6    
VardasNR472      PavardeNR472       1    10   8    10   3    4    
VardasNR473      PavardeNR473       8    10   4    6    8    9    
VardasNR474      PavardeNR474       4    4    2    1    1    4    
VardasNR475      PavardeNR475       1    4    6    9    7    2    
VardasNR476      PavardeNR476       1    2    3    2    7    4    
VardasNR477      PavardeNR477       9    1    10   10   3    2    
VardasNR478      PavardeNR478       5    8    1    4    6    4    
VardasNR479      PavardeNR479       8    2    3    10   4    10   
VardasNR480      PavardeNR480       1    3    7    5    5    4    
VardasNR481      PavardeNR481       5    9    7    3    3    3    
VardasNR482      PavardeNR482       6    1    5    7    1    6    
VardasNR483      PavardeNR483       9    3    10   4    4    10   
VardasNR484      PavardeNR484       9    7    4    8    9    10   
VardasNR485      PavardeNR485       1    5    10   5    6    8    
VardasNR486      PavardeNR486       7    6    1    8    6    8    
VardasNR487      PavardeNR487       9    1    5    4    9    7    
VardasNR488      PavardeNR488       1    8    7    2    6    1    
VardasNR489      PavardeNR489       3    4    7    4    5    9    
VardasNR490      PavardeNR490       3    8    4    5    1    1    
VardasNR491      PavardeNR491       9    7    9    10   7    7    
VardasNR492      PavardeNR492       4    1    5    4    4    8    
VardasNR493      PavardeNR493       6    5    10   6    5    9    
VardasNR494      PavardeNR494       4    2    1    1    3    2    
VardasNR495      PavardeNR495       3    5    9    5    3    1    
VardasNR496      PavardeNR496       9    5    2    7    5    2    
VardasNR497      PavardeNR497       4    1    7    7    5    6    
